Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio
AAPL,95014,Technology,154000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.3343,0.25709,0.43313998,118224003072,0.019,0.30533,129556996096,122,buy,152836000000,83344621568,185,152.74,-0.077,0.865,0.22204,42,182.01,205.984,1.62816,220,48230998016,119691001856,387541991424,3.001,USD,23.732,0.697,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,6.559,,19.62,0.039613366,,6.45,,16070800384,,,,3.61,113066596,0.0069999998,,1632528000,0.59744,99632996352,6.05,0.23,-0.15654653,42.310253,0.0007,1695600000,,1656115200,1.72,1659052800,16054199125,1.234119,2541855965184,2,,1598832000,4:1,,1659657600,,-0.106,6.3339047,1661904000,2.64,,23.680622,,0.0069999998,107535584,0,,,153.72,152.38,160.69595,0.0057897475,0.1471,,154.43,,101368590,153.72,160.1666,0.89,152.38,,101368590,,,0.92,1659657600,,,150.91,USD,25.24628,86652542,,,,2454654025728,,,75553796,150.91,0,1000,86652542,182.94,,1.03,129.04,0,False,0.006,1300,154.43,,152.74,152.31,https://logo.clearbit.com/apple.com,2.7779
AMGN,91320-1799,Healthcare,24200,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology, and neuroscience areas. The company's products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Neulasta that reduces the chance of infection due a low white blood cell count in patients cancer; Prolia to treat postmenopausal women with osteoporosis; Xgeva for skeletal-related events prevention; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with Behçet's disease; Aranesp to treat a lower-than-normal number of red blood cells and anemia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; and Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization. It also markets Nplate, Vectibix, MVASI, Parsabiv, EPOGEN, KANJINTI, BLINCYTO, Aimovig, EVENITY, AMGEVITATM, Sensipar/Mimpara, NEUPOGEN, IMLYGIC, Corlanor, and AVSOLA. Amgen Inc. serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. It has collaboration agreements with Novartis Pharma AG; UCB; Bayer HealthCare LLC; BeiGene, Ltd.; Eli Lilly and Company; Datos Health; and Verastem, Inc. to evaluate VS-6766 in combination with lumakrastm (Sotorasib) in patients with KRAS G12C-mutant non-small cell lung cancer. It has an agreement with Kyowa Kirin Co., Ltd. to jointly develop and commercialize KHK4083, a Phase 3-ready anti-OX40 fully human monoclonal antibody for the treatment of atopic dermatitis and other autoimmune diseases; and research and development collaboration with Neumora Therapeutics, Inc. and Plexium, Inc. Amgen Inc. was incorporated in 1980 and is headquartered in Thousand Oaks, California.",Thousand Oaks,805 447 1000,CA,United States,[],https://www.amgen.com,1,One Amgen Center Drive,Drug Manufacturers—General,0.49947,0.24924,0.7575,9319999488,0.01,0.37754002,13178000384,182,hold,19525000000,8452874752,255,227.75,2.026,1.531,0.10457,22,253.12,1509.797,1.23308,295,7183000064,36522000384,26383998976,13.428,USD,47.711,0.991,2.7,NMS,Amgen Inc.,Amgen Inc.,America/New_York,EDT,False,-14400000,EQUITY,AMGN,finmb_24816,us_market,,5.663,,11.338,0.06619537,,18.72,,534931008,,,,4.522,16516589,0.0309,,1640908800,0.80113,6576000000,11.76,1.94,-0.15654653,50.364883,0.0021600001,1703980800,,1656547200,6.44,1659052800,533855639,0.563723,149409579008,2,,943228800,2:1,,1660694400,,1.838,4.617592,1661904000,1.61,,12.166133,,0.0309,17278533,0,,,224.46,223.55,237.70586,0.03296801,0.6293,,229.37,,3058010,224.46,243.4692,7.4,223.55,,3058010,,,7.76,1660694400,,,223.3,USD,19.366497,2080206,,,,121830539264,,,2675150,223.3,0,800,2080206,258.45,,2.8,198.64,0,False,0.0346,1300,229.37,,227.75,,https://logo.clearbit.com/amgen.com,1.3221
AXP,10285,Financial Services,64000,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services. Its products and services include payment and financing products; network services; accounts payable expense management products and services; and travel and lifestyle services. The company's products and services also comprise merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, third-party vendors and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York.",New York,212 640 2000,NY,United States,[],https://www.americanexpress.com,1,200 Vesey Street,Credit Services,0,0.15862,0.68097,17319000064,0.197,0.21147,,140,buy,30799000000,,175.1,143.03,-0.082,1.626,0.03879,23,177.57,183.043,0.31197,220,25191000064,42530000896,47964000256,33.599,USD,62.657,1.616,2.3,NYQ,American Express Company,American Express Company,America/New_York,EDT,False,-14400000,EQUITY,AXP,finmb_92001,us_market,,2.686,,,-0.18603462,,11.34,,749747968,,,,30.939,9168079,0.012200001,,1640908800,0.86654997,7464999936,9.78,0.52,-0.15654653,4.6229677,0.00131,1703980800,,1656547200,3.84,1659052800,597009169,1.135037,128833994752,2,,1128297600,10000:8753,,1656547200,,-0.139,2.2357695,1661904000,1.07,,12.612874,,0.0154,8040079,0,,,148.71,148.82,166.21365,0.012776544,0.1943,,148.89,,3299630,148.71,154.7746,1.9,148.82,,3299630,,,2.08,1656547200,,,142.465,USD,14.624744,3168293,,,,107236450304,,,3203352,142.465,0,1000,3168293,199.55,,1.34,134.12,0,False,0.0139999995,800,148.89,,143.03,,https://logo.clearbit.com/americanexpress.com,1.1171
BA,60606-1596,Industrials,142000,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating leases, sales-type/finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was incorporated in 1916 and is based in Chicago, Illinois.",Chicago,312 544 2000,IL,United States,[],https://www.boeing.com,1,100 North Riverside Plaza,Aerospace & Defense,0.00196,-0.086890005,0.05994,-2680999936,-0.019,-0.03164,119000000,,none,5190000000,742499968,,138.71,-0.68,1.25,-0.008450001,,,,,,11448000512,57200001024,60743000064,19.279,USD,102.745,0.283,,NYQ,Boeing Company (The),The Boeing Company,America/New_York,EDT,False,-14400000,EQUITY,BA,finmb_370857,us_market,,2.111,,1077.45,-0.37345862,,4.31,,593811008,,,,-25.087,8878702,0.015,,1640908800,0.57856,-5278000128,-8.285,2.055,-0.15654653,,0.00105,1703980800,,1656547200,1.42,1659052800,549251579,1.355573,128216547328,2,,865814400,2:1,,1581552000,,-0.671,1.400774,1661904000,-3.52,,32.183296,,0.015,10417101,0,,,143.29,143.13,171.2792,0,0,,143.7,,7287700,143.29,158.5802,0,143.13,,7287700,,,,1581552000,,,138.29,USD,,6180912,,,,85087215616,,,7610361,138.29,0,1100,6180912,233.94,,,113.02,0,False,,4000,143.7,,138.71,,https://logo.clearbit.com/boeing.com,6.5305
CAT,60015,Industrials,107700,"Caterpillar Inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, and industrial gas turbines worldwide. Its Construction Industries segment offers asphalt pavers, backhoe loaders, compactors, cold planers, compact track and multi-terrain loaders, excavators, motorgraders, pipelayers, road reclaimers, site prep tractors, skid steer loaders, telehandlers, and utility vehicles; mini, small, medium, and large excavators; compact, small, and medium wheel loaders; track-type tractors and loaders; and wheel excavators. The Resource Industries segment provides electric rope shovels, draglines, hydraulic shovels, rotary drills, hard rock vehicles, track-type tractors, mining trucks, longwall miners, wheel loaders, off-highway trucks, articulated trucks, wheel tractor scrapers, wheel dozers, fleet management, landfill compactors, soil compactors, machinery components, autonomous ready vehicles and solutions, select work tools, and safety services and mining performance solutions. The Energy & Transportation segment offers reciprocating engines, generator sets, integrated systems and solutions, turbines and turbine-related services, remanufactured reciprocating engines and components, centrifugal gas compressors, diesel-electric locomotives and components, and other rail-related products and services for marine, oil and gas, industrial, and electric power generation sectors. The company's Financial Products segment provides operating and finance leases, installment sale contracts, working capital loans, and wholesale financing plans; and insurance and risk management products for vehicles, power generation facilities, and marine vessels. The All Other operating segment manufactures filters and fluids, undercarriage, ground engaging tools, etc. The company was formerly known as Caterpillar Tractor Co. and changed its name to Caterpillar Inc. in 1986. The company was founded in 1925 and is headquartered in Deerfield, Illinois.",Deerfield,224-551-4000,IL,United States,[],https://www.caterpillar.com,1,510 Lake Cook Road,Farm & Heavy Construction Machinery,0.19418,0.12504,0.25006,5697999872,0.105,0.15338999,10492000256,142,buy,13189000000,2850125056,210,170.55,0.223,1.45,0.06363,23,209.22,234.545,0.4141,260,5872000000,36962000896,54030999552,11.123,USD,100.663,0.828,2.5,NYQ,"Caterpillar, Inc.",Caterpillar Inc.,America/New_York,EDT,False,-14400000,EQUITY,CAT,finmb_259378,us_market,,2.242,,11.548,-0.1334722,,15.02,,527908992,,,,29.791,5083779,0.0095999995,,1640908800,0.71221,6755999744,12.49,1.2,-0.15654653,5.7248836,0.00227,1703980800,,1656547200,1.96,1659052800,526631603,1.010387,121156902912,2,,1121299200,2:1,,1658188800,,0.184,1.666356,1661904000,1.16,,11.35486,,0.0095999995,5336623,0,,,171.95,172.7,202.18605,0.02634487,0.35549998,,174.58,,2774580,171.95,185.9398,4.53,172.7,,2774580,,,4.8,1658188800,,,170.3,USD,13.654924,2508351,,,,90034880512,,,2717276,170.3,0,1000,2508351,237.9,,2.42,167.08,0,False,0.028099999,1100,174.58,,170.55,,https://logo.clearbit.com/caterpillar.com,1.2296
CRM,94105,Technology,78634,"Salesforce, Inc. provides customer relationship management technology that brings companies and customers together worldwide. Its Customer 360 platform empowers its customers to work together to deliver connected experiences for their customers. The company's service offerings include Sales to store data, monitor leads and progress, forecast opportunities, gain insights through analytics and relationship intelligence, and deliver quotes, contracts, and invoices; and Service that enables companies to deliver trusted and highly personalized customer service and support at scale. Its service offerings also comprise flexible platform that enables companies of various sizes, locations, and industries to build business apps to bring them closer to their customers with drag-and-drop tools; online learning platform that allows anyone to learn in-demand Salesforce skills; and Slack, a system of engagement. In addition, the company's service offerings include Marketing offering that enables companies to plan, personalize, and optimize one-to-one customer marketing journeys; and Commerce offering, which empowers brands to unify the customer experience across mobile, web, social, and store commerce points. Further, its service offerings comprise Tableau, an end-to-end analytics solution serving various enterprise use cases; and MuleSoft, an integration offering that allows its customers to unlock data across their enterprise. The company provides its service offering for customers in financial services, healthcare and life sciences, manufacturing, and other industries. It also offers professional services; and in-person and online courses to certify its customers and partners on architecting, administering, deploying, and developing its service offerings. The company provides its services through direct sales; and consulting firms, systems integrators, and other partners. Salesforce, Inc. was incorporated in 1999 and is headquartered in San Francisco, California.",San Francisco,415 901 7000,CA,United States,[],https://www.salesforce.com,1,Salesforce Tower,Software—Application,0.08407,0.01828,0.72612,6396000256,0.218,0.0044,2464999936,150,buy,19466000000,9370250240,220,150.15,-0.878,1.058,0.00088,45,222.41,23.826,0.00927,385,13532999680,14318999552,29319999488,13.533,USD,29.661,0.91,1.9,NYQ,"Salesforce, Inc.","Salesforce, Inc.",America/New_York,EDT,False,-14400000,EQUITY,CRM,finmb_122917,us_market,,5.062,,60.209,-0.47431993,,5.68,,1000000000,,,,60.158,12016491,0.012,,1643587200,0.80247,536000000,0.51,,-0.15654653,2.4959273,0.03261,1706659200,,1659225600,1.92,1659052800,968120000,1.121454,148416004096,2,,1366243200,4:1,,,,-0.873,5.1210775,1661904000,1.73,,26.434858,,0.0124,12869799,0,,,147.63,149.51,194.50935,0,0,,152.86,,6933540,147.63,171.9938,0,149.51,,6933540,,,,,,,149.15,USD,294.41174,12206746,,,,150149988352,,,6075957,149.15,0,1000,12206746,311.75,,,147.51,0,False,,800,152.86,,150.15,150.31,https://logo.clearbit.com/salesforce.com,1.8558
CSCO,95134-1706,Technology,83300,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. The company also offers switching portfolio encompasses campus switching as well as data center switching; enterprise routing portfolio interconnects public and private wireline and mobile networks, delivering highly secure, and reliable connectivity to campus, data center and branch networks; wireless products include wireless access points that are standalone, controller appliance-based, switch-converged, and Meraki cloud-managed offerings; and compute portfolio including the cisco unified computing system, hyperflex, and software management capabilities, which combine computing, networking, and storage infrastructure management and virtualization. In addition, it provides Internet for the future product consists of routed optical networking, 5G, silicon, and optics solutions; collaboration products, such as meetings, collaboration devices, calling, contact center, and communication platform as a service; end-to-end security product consists of network security, cloud security, security endpoints, unified threat management, and zero trust; and optimized application experiences products including full stack observability and cloud-native platform. Further, the company offers a range of service and support options for its customers, including technical support and advanced services and advisory services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. has strategic alliances with other companies. Cisco Systems, Inc. was incorporated in 1984 and is headquartered in San Jose, California.",San Jose,408 526 4000,CA,United States,[],https://www.cisco.com,1,170 West Tasman Drive,Communication Equipment,0.30843002,0.2291,0.62548,13226000384,-0.002,0.27203,15902000128,44,buy,32248000000,9768625152,52.5,41.15,-0.039,1.432,0.09155,24,54.58,26.553,0.29148,73,19267000320,10561000448,51556999168,4.689,USD,12.364,1.162,2.5,NMS,"Cisco Systems, Inc.","Cisco Systems, Inc.",America/New_York,EDT,False,-14400000,EQUITY,CSCO,finmb_19691,us_market,,3.146,,10.199,-0.27463424,,3.8,,4108839936,,,,9.677,33871831,0.0082,,1659139200,0.75213,11811999744,2.82,0.38,-0.15654653,4.2523513,0.00086000003,1722297600,,1659139200,1.81,1659052800,4105762534,0.942469,162180825088,2,,953769600,2:1,,1656979200,,-0.064,3.2794533,1661904000,1.74,,10.828948,,0.0082,37079470,0,,,41.59,41.34,50.8197,0.03606636,0.5319,,41.55,,20343410,41.59,45.0614,1.5,41.34,,20343410,,,1.52,1664841600,,,41.14,USD,14.592199,16679376,,,,169078767616,,,18911549,41.14,0,1200,16679376,64.29,,2.92,40.82,0,False,0.0365,1400,41.55,,41.15,41,https://logo.clearbit.com/cisco.com,1.9526
CVX,94583-2324,Energy,42595,"Chevron Corporation, through its subsidiaries, engages in integrated energy and chemicals operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, production, and transportation of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil, refined products, and lubricants; manufacturing and marketing of renewable fuels; transporting crude oil and refined products by pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing of commodity petrochemicals, plastics for industrial uses, and fuel and lubricant additives. It is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is based in San Ramon, California.",San Ramon,925 842 1000,CA,United States,[],https://www.chevron.com,1,6001 Bollinger Canyon Road,Oil & Gas Integrated,0.22938,0.14094,0.39918998,39873998848,0.81,0.15131,47274999808,150,buy,66234000000,24148750336,184.5,154.89,2.719,1.308,0.07784,26,182.13,16.974,0.20236999,210,12369999872,26235000832,206099005440,6.319,USD,106.829,1,2.3,NYQ,Chevron Corporation,Chevron Corporation,America/New_York,EDT,False,-14400000,EQUITY,CVX,finmb_98506,us_market,,1.544,,6.733,0.539662,,17.03,,1957430016,,,,78.447,23717096,0.0121,,1640908800,0.71677,29046999040,14.99,1.42,-0.15654653,1.9744542,0.0008,1703980800,,1656547200,2.94,1659052800,1794341345,1.14103,318294982656,2,,1095033600,2:1,,1660780800,,2.771,1.4710714,1661904000,0.59,,9.095126,,0.0121,18802877,0,,,155.01,157.6,150.7113,0.03561061,0.3682,,158.28,,12167930,155.01,155.2988,5.52,157.6,,12167930,,,5.68,1660780800,,,154.74,USD,10.332889,6277183,,,,303186345984,,,9109498,154.74,0,800,6277183,182.4,,4.43,99.65,0,False,0.0366,1100,158.28,,154.89,,https://logo.clearbit.com/chevron.com,2.4688
DIS,91521,Communication Services,152000,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. It operates through two segments, Disney Media and Entertainment Distribution; and Disney Parks, Experiences and Products. The company engages in the film and episodic television content production and distribution activities, as well as operates television broadcast networks under the ABC, Disney, ESPN, Freeform, FX, Fox, National Geographic, and Star brands; and studios that produces motion pictures under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, and Searchlight Pictures banners. It also offers direct-to-consumer streaming services through Disney+, Disney+ Hotstar, ESPN+, Hulu, and Star+; sale/licensing of film and television content to third-party television and subscription video-on-demand services; theatrical, home entertainment, and music distribution services; staging and licensing of live entertainment events; and post-production services by Industrial Light & Magic and Skywalker Sound. In addition, the company operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney as well as Aulani, a Disney resort and spa in Hawaii; licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort; and provides consumer products, which include licensing of trade names, characters, visual, literary, and other IP for use on merchandise, published materials, and games. Further, it sells branded merchandise through retail, online, and wholesale businesses; and develops and publishes books, comic books, and magazines. The Walt Disney Company was founded in 1923 and is based in Burbank, California.",Burbank,818 560 1000,CA,United States,[],https://www.thewaltdisneycompany.com,1,500 South Buena Vista Street,Entertainment,0.14704001,0.03874,0.34425998,6120999936,0.263,0.083900005,11925999616,,buy,22287000000,6337375232,,102.16,0.548,1.023,0.02094,,,48.746,0.03444,,12958999552,51602001920,81106001920,7.108,USD,44.57,0.868,2,NYQ,Walt Disney Company (The),The Walt Disney Company,America/New_York,EDT,False,-14400000,EQUITY,DIS,finmb_191564,us_market,,2.937,,19.977,-0.41954547,,5.71,,1823059968,,,,51.275,19644075,0.0108,,1633132800,0.63721,3191000064,1.7,0.88,-0.15654653,1.992394,0.0012899999,1696204800,,1656720000,1.54,1659052800,1820760724,1.202157,238244577280,2,,1181692800,10000:9865,,1576195200,,0.535,2.2963011,1661904000,0.71,,17.891418,,0.0108,20739705,0,,,104.49,104.21,124.21655,0,0,,104.66,,9797680,104.49,110.038,0,104.21,,9797680,,,,1576195200,,,102.02,USD,60.094116,10328643,,,,186243809280,,,10949749,102.02,0,900,10328643,179.63,,,90.23,0,False,,800,104.66,,102.16,101.84,https://logo.clearbit.com/thewaltdisneycompany.com,0.6746
DOW,48674,Basic Materials,35700,"Dow Inc. provides various materials science solutions for packaging, infrastructure, mobility, and consumer applications in the United States, Canada, Europe, the Middle East, Africa, India, the Asia Pacific, and Latin America. It operates through Packaging & Specialty Plastics, Industrial Intermediates & Infrastructure, and Performance Materials & Coatings segments. The Packaging & Specialty Plastics segment provides ethylene, and propylene and aromatics products; and polyethylene, polyolefin elastomers, ethylene vinyl acetate, and ethylene propylene diene monomer rubbers. The Industrial Intermediates & Infrastructure segment offers ethylene oxides, propylene oxides, propylene glycol and polyether polyols, aromatic isocyanates and polyurethane systems, coatings, adhesives, sealants, elastomers, and composites. This segment also provides caustic soda, and ethylene dichloride and vinyl chloride monomers; and cellulose ethers, redispersible latex powders, and acrylic emulsions. The Performance Materials and Coatings segment provides architectural paints and coatings, and industrial coatings that are used in maintenance and protective industries, wood, metal packaging, traffic markings, thermal paper, and leather; performance silicones and specialty materials; and silicone feedstocks and intermediates. It also engages in property and casualty insurance, as well as reinsurance business. Dow Inc. was incorporated in 2018 and is headquartered in Midland, Michigan.",Midland,989 636 1000,MI,United States,[],https://www.dow.com,1,2211 H.H. Dow Way,Chemicals,0.19089001,0.11058,0.18958999,8753000448,0.128,0.14547,11477999616,44,hold,10777000000,4490874880,55,44.77,-0.1,1.636,0.088240005,23,54.91,77.172,0.37577,70,2703000064,15054000128,60129001472,3.764,USD,81.725,0.767,2.9,NYQ,Dow Inc.,Dow Inc.,America/New_York,EDT,False,-14400000,EQUITY,DOW,finmb_9830660,us_market,,0.752,,3.937,-0.2119345,,6.05,,718166976,,,,26.419,15532648,0.0216,,1640908800,0.67588997,6615000064,8.71,0.7,-0.15654653,1.6946137,0.0012899999,1703980800,,1656547200,2.82,1659052800,716838867,1.334336,45188173824,2,,,,,1661817600,,-0.126,0.5347226,1661904000,-1.06,,7.3999996,,0.0217,13274660,0,,,44.98,45.28,58.3997,0.062249888,0.3139,,45.55,,6884710,44.98,51.4452,2.8,45.28,,6884710,,,2.8,1661817600,,,44.75,USD,5.140069,4559280,,,,32152336384,,,5958576,44.75,0,1000,4559280,71.86,,,44.75,0,False,0.0622,900,45.55,,44.77,,https://logo.clearbit.com/dow.com,
