Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio
AAPL,95014,Technology,154000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.3343,0.25709,0.43313998,118224003072,0.019,0.30533,129556996096,122,buy,152836000000,83344621568,185,152.74,-0.077,0.865,0.22204,42,182.01,205.984,1.62816,220,48230998016,119691001856,387541991424,3.001,USD,23.732,0.697,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,True,-14400000,EQUITY,AAPL,finmb_24937,us_market,,6.559,,19.62,0.039613366,,6.45,,16070800384,,,,3.61,113066596,0.0069999998,,1632528000,0.59744,99632996352,6.05,0.23,-0.15654653,42.310253,0.0007,1695600000,,1656115200,1.72,1659052800,16054199125,1.234119,2541855965184,2,,1598832000,4:1,,1659657600,,-0.106,6.3339047,1661904000,2.64,,23.680622,,0.0069999998,107535584,0,,,153.72,152.38,160.69595,0.0057897475,0.1471,,154.43,,101368590,153.72,160.1666,0.89,152.38,,101368590,,,0.92,1659657600,,,150.91,USD,25.24628,86652542,,,,2454654025728,,,75553796,150.91,0,1000,86652542,182.94,,1.03,129.04,0,False,0.006,1300,154.43,,152.74,151.95,https://logo.clearbit.com/apple.com,2.7779
ABNB,94103,Consumer Cyclical,6132,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms, primary homes, or vacation homes. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",San Francisco,415 510 4027,CA,United States,[],https://www.airbnb.com,1,888 Brannan Street,Travel Services,0.18318,0.1691,0.81584,2795403008,0.576,0.17593999,1352365056,100,buy,4835927000,2297380352,140,103.72,,1.579,0.047,29,142.45,45.401,0.28905,214,9895479296,2381308928,7382671872,15.474,USD,11.697,0.892,2.5,NMS,"Airbnb, Inc.","Airbnb, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ABNB,finmb_115705393,us_market,,7.967,,43.49,-0.41027975,,2.5,,399167008,,,,8.202,16537998,0.025899999,,1640908800,0.65401,1248443008,1.79,,-0.15654653,12.645697,0.01461,1703980800,,1656547200,2.55,1659052800,384402607,,58814623744,2,,,,,,,,8.984395,1661904000,1.04,,41.488,,0.0421,19261921,0,,,114.01,112.67,137.31766,0,0,,113.72,,7114400,114.01,113.941,0,112.67,,7114400,,,,,,,103.26,USD,57.944138,8399410,,,,66328838144,,,6627892,103.26,0,900,8399410,212.584,,,86.71,0,False,,800,113.72,,103.72,103.3,https://logo.clearbit.com/airbnb.com,
ADBE,95110-2704,Technology,25988,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.39137,0.27997,0.87761,7578999808,0.127,0.35449,6728000000,310,buy,13920000000,5710750208,359,287.06,-0.04,1.141,0.14403,30,383.6,32.29,0.33438998,540,5763999744,4640999936,17191000064,12.29,USD,36.418,1.007,2.2,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000,EQUITY,ADBE,finmb_24321,us_market,,7.745,,19.791,-0.53901494,,15.6,,466945984,,,,30.646,4973784,0.0106,,1638489600,0.84275,4813000192,9.97,0.0065,-0.15654653,9.366964,0.00424,1701561600,,1662076800,2.21,1659052800,467532030,1.133839,133151703040,2,,1116892800,2:1,,1111622400,,-0.063,7.797191,1661904000,1.53,,18.401281,,0.0107,5334071,0,,,286.3,282,441.5727,0,0,,289.55,,7952300,286.3,390.0476,0,282,,7952300,,,,1111622400,,,280.06,USD,28.792376,5653816,,,,134041509888,,,3219506,280.06,0,1100,5653816,699.54,,,280.06,0,False,,900,289.55,,287.06,287.06,https://logo.clearbit.com/adobe.com,1.1081
ADI,01887,Technology,24700,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and high-end consumer markets; and power ICs include performance, integration, and software design simulation tools for accurate power supply designs. It also offers high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company offers digital signal processing and system products for high-speed numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",Wilmington,781 935 5565,MA,United States,[],https://www.analog.com,1,One Analog Way,Semiconductors,0.48763,0.17,0.64056,4266789888,0.768,0.28919,5415524864,170,buy,4856095000,3522475776,195,145.34,0.067,1.921,0.055770002,23,195.07,17.066,0.07721,220,1524960000,6252838912,11105805312,2.965,USD,21.691,1.339,1.9,NMS,"Analog Devices, Inc.","Analog Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ADI,finmb_251411,us_market,,7.3,,14.971,-0.18590713,,9.57,,514342016,,,,71.234,8636588,0.0168,,1635552000,0.88464,1888022016,3.38,0.76,-0.15654653,2.0403178,0.00921,1698624000,,1659139200,2.68,1659052800,512268735,1.163403,81076731904,2,,953164800,2:1,,1661731200,,0.488,6.7311163,1661904000,0.93,,15.187043,,0.016900001,7500949,0,,,148.44,147.99,161.26695,0.020008083,0.85800004,,148.33,,3234070,148.44,161.912,2.97,147.99,,3234070,,,3.04,1661731200,,,144.22,USD,42.999996,3355312,,,,74754465792,,,3199133,144.22,0,800,3355312,191.95,,1.88,138.5,0,False,0.020499999,1000,148.33,,145.34,,https://logo.clearbit.com/analog.com,1.3371
ADP,07068,Industrials,60000,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services, as well as integrated HCM solutions. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Roseland,973 974 5000,NJ,United States,[],https://www.adp.com,1,One ADP Boulevard,Staffing & Employment Services,0.26503,0.17874001,0.45139,3099500032,0.105,0.23381001,4372599808,208,hold,7447100000,5225750016,248,230.47,0.174,0.994,0.043109998,17,246.71,111.329,0.66302,280,1436300032,3590700032,16498299904,3.457,USD,39.394,0.084,3,NMS,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ADP,finmb_126269,us_market,,5.934,,22.389,0.13969934,,8.93,,415516992,,,,7.751,4600832,0.0111,,1656547200,0.80809,2948900096,7,1.04,-0.15654653,29.734228,0.00107,1719705600,,1656547200,3.57,1659052800,414781519,0.829404,97897824256,2,,1412121600,1139:1000,,1662595200,,0.162,5.804489,1661904000,1.98,,25.80851,,0.0111,4293001,0,,,230.42,229.85,224.3015,0.0175766,0.5786,,232.49,,1995540,230.42,240.2386,4.05,229.85,,1995540,,,4.16,1662595200,,,228.85,USD,32.924286,1628253,,,,95764201472,,,1570484,228.85,0,1100,1628253,261.59,,1.96,192.26,0,False,0.018099999,1800,232.49,,230.47,,https://logo.clearbit.com/adp.com,2.7299
ADSK,94903,Technology,12600,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry. It sells its products and services to customers directly, as well as through a network of resellers and distributors. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Rafael, California.",San Rafael,415 507 5000,CA,United States,[],https://www.autodesk.com,1,111 McInnis Parkway,Software—Application,0.20868999,0.11761,0.91611,1684300032,0.167,0.19088,990099968,185,buy,4021400000,1253624960,263,187.15,0.635,0.639,0.072340004,21,256.8,411.486,0.53970003,355,1524999936,3044999936,4744399872,7.065,USD,21.743,0.538,2,NMS,"Autodesk, Inc.","Autodesk, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ADSK,finmb_119902,us_market,,8.835,,42.337,-0.36488277,,7.79,,215859008,,,,3.426,2377654,0.011,,1643587200,0.93468004,558000000,2.47,0.015,-0.15654653,54.62638,0.00269,1706659200,,1659225600,1.8,1659052800,215461867,1.526967,41918021632,2,,1103587200,2:1,,1111449600,,0.617,8.514884,1661904000,1.21,,24.02439,,0.011,3516981,0,,,192.42,189.82,214.92595,0,0,,191.3,,1526520,192.42,207.9854,0,189.82,,1526520,,,,1111449600,,,187.06,USD,75.769226,1154155,,,,40398012416,,,1431744,187.06,0,900,1154155,335.48,,,163.2,0,False,,800,191.3,,187.15,,https://logo.clearbit.com/autodesk.com,1.1333
AEP,43215-2373,Utilities,16688,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, hydro, solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio.",Columbus,614 716 1000,OH,United States,[],https://www.aep.com,1,1 Riverside Plaza,Utilities—Regulated Electric,0.38484,0.14367,0.45798,5786699776,0.213,0.21775,6895099904,80,buy,7656200000,-4203974912,108.5,98.88,-0.113,0.753,0.02783,16,107.81,157.357,0.112110004,120,767299968,38233100288,17916700672,1.494,USD,35.394,0.258,2.2,NMS,American Electric Power Company,"American Electric Power Company, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AEP,finmb_135470,us_market,,4.931,,12.813,0.20511878,,5.28,,513734016,,,,46.83,7970071,0.0155,,1640908800,0.75596,2574099968,5.07,0.78,-0.15654653,2.111467,0.00031,1703980800,,1656547200,3.66,1659052800,513204838,0.344786,88345559040,2,,-226281600,2:1,,1660003200,,-0.093,2.835233,1661904000,3.17,,18.727272,,0.0155,8510981,0,,,98.57,98.3,95.68585,0.03124683,0.6075,,99.51,,2665310,98.57,100.273,3.08,98.3,,2665310,,,3.12,1660003200,,,98.0471,USD,19.502958,1939513,,,,50798018560,,,2467309,98.0471,0,1100,1939513,105.6,,3.28,80.22,0,False,0.0317,900,99.51,,98.88,,https://logo.clearbit.com/aep.com,3.1055
ALGN,85281,Healthcare,24020,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of seven and ten years, which is a mixture of primary/baby and permanent teeth. This segment's non-comprehensive products comprise Invisalign moderate, lite and express packages, and Invisalign go; and non-case products include retention products, Invisalign training fees, and sales of ancillary products, such as cleaning material, and adjusting tools used by dental professionals during the course of treatment. The Scanners and Services segment offers iTero scanner, a single hardware platform with software options for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; and software for orthodontists for digital records storage, orthodontic diagnosis, and for the fabrication of printed models and retainers. This segment also provides computer-aided design and computer-aided manufacturing services; ancillary products, such as disposable sleeves for the wand; iTero model and dies; third party scanners and digital scans; Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; and TimeLapse technology, which allows doctors or practitioners to compare a patient's historic 3D scans to the present-day scan. The company sells its products in the United States, Switzerland, China, and internationally. Align Technology, Inc. was incorporated in 1997 and is headquartered in Tempe, Arizona.",Tempe,408 470 1000,AZ,United States,[],https://www.aligntech.com,1,410 North Scottsdale Road,Medical Devices,0.24699,0.15515,0.72600996,785395968,-0.041,0.21764,985438976,235,buy,2935355000,161108256,360,217.95,-0.427,1.317,0.09686,10,339.2,3.416,0.17728001,410,899638976,122945000,3989776896,11.518,USD,50.697,1.077,2.2,NMS,"Align Technology, Inc.","Align Technology, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ALGN,finmb_24568,us_market,,4.072,,16.487,-0.6994788,,10.33,,78108200,,,,46.107,2179579,0.0279,,1640908800,0.90302,619027968,7.5,,-0.15654653,4.727048,0.06331,1703980800,,1656547200,3.2,1659052800,73549791,1.799041,16246984704,2,,,,,,,-0.435,4.266825,1661904000,0.59,,21.098742,,0.028099999,2366833,0,,,226.68,224.14,379.76065,0,0,,225.65,,900380,226.68,263.3598,0,224.14,,900380,,,,,,,214.68,USD,29.06,909784,,,,17023681536,,,841458,214.68,0,1000,909784,726.3,,,214.68,0,False,,1000,225.65,,217.95,,https://logo.clearbit.com/aligntech.com,1.9409
AMAT,95052-3299,Technology,31900,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was incorporated in 1967 and is headquartered in Santa Clara, California.",Santa Clara,408 727 5555,CA,United States,[],https://www.appliedmaterials.com,1,3050 Bowers Avenue,Semiconductor Equipment & Materials,0.32854998,0.26416,0.47049,5689999872,0.052,0.31162,8265999872,95,buy,10926000000,3326249984,130,85.04,-0.011,2.259,0.19352,27,131.85,48.517,0.55085,175,3548000000,5856000000,25159000064,4.124,USD,28.517,1.268,2,NMS,"Applied Materials, Inc.","Applied Materials, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMAT,finmb_251230,us_market,,3.07,,9.343,-0.4007892,,7.95,,860308992,,,,14.03,10466892,0.012200001,,1635638400,0.79674006,6646000128,7.47,0.26,-0.15654653,6.0612974,0.0036300002,1698710400,,1659225600,1.5,1659052800,857229469,1.531761,77232340992,2,,1019001600,2:1,,1661299200,,-0.064,2.9079328,1661904000,0.89,,10.696856,,0.012200001,11533762,0,,,87.09,86.64,118.8362,0.011482375,0.1312,,86.7635,,6789440,87.09,99.2056,1,86.64,,6789440,,,1.04,1669161600,,,84.59,USD,11.384204,8558587,,,,73160679424,,,6907949,84.59,0,1100,8558587,167.06,,1.18,82.67,0,False,0.0119,800,86.7635,,85.04,84.93,https://logo.clearbit.com/appliedmaterials.com,1.3087
AMD,95054,Technology,15500,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides processors for desktop and notebook personal computers under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, AMD FX, AMD A-Series, and AMD PRO A-Series processors brands; discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics, AMD Embedded Radeon graphics brands; and professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands. It also offers Radeon Instinct, Radeon PRO V-series, and AMD Instinct accelerators for servers; chipsets under the AMD trademark; microprocessors for servers under the AMD EPYC; embedded processor solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was incorporated in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],https://www.amd.com,1,2485 Augustine Drive,Semiconductors,0.26122,0.14507,0.50755,3704000000,0.701,0.16834,5635999744,85,buy,7929000000,3622874880,121,69.5,-0.534,2.437,0.05806,38,123.13,5.798,0.10059,200,5992000000,3199000064,21575999488,3.712,USD,15.876,1.819,2,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMD,finmb_168864,us_market,,5.443,,20.838,-0.3431002,,4.87,,1614320000,,,,34.224,30934716,0.019199999,,1640390400,0.68489,3129999872,2.33,,-0.15654653,2.0307388,0.00336,1703462400,,1656115200,0.4,1659052800,1605248417,1.967638,117441617920,2,,966902400,2:1,,,,-0.37,5.200002,1661904000,0.6,,14.271048,,0.019199999,35275192,0,,,74.48,73.89,104.15535,0,0,,74.29,,74976750,74.48,88.7678,0,73.89,,74976750,,,,798940800,,,69.175,USD,29.828327,101436851,,,,112195239936,,,80283498,69.175,0,1300,101436851,164.46,,,69.17,0,False,,900,74.29,,69.5,68.85,https://logo.clearbit.com/amd.com,0.6808
