Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio
A,95051,Healthcare,17700,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],https://www.agilent.com,1,5301 Stevens Creek Boulevard,Diagnostics & Research,0.28863,0.19943,0.54212004,1304999936,0.083,0.23938,1922000000,150.55,hold,3407000000,829000000,150.55,124.39,0.279,1.94,0.09498999,1,150.55,60.361,0.26462,150.55,1076999936,3072999936,6658999808,3.638,USD,22.178,1.273,3,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EDT,True,-14400000,EQUITY,A,finmb_154924,us_market,,5.83,,20.198,-0.2784803,,5.59,,296040992,,,,17.188,2705705,0.0091,,1635638400,0.93778,1328000000,4.38,0.21,-0.15654653,7.2370257,0.00239,1698710400,,1659225600,1.94,1659052800,295090280,1.067119,38820487168,2,,1414972800,1398:1000,,1656633600,,0.246,5.5300407,1661904000,2.1,,22.252235,,0.0092,3011237,0,,,126.48,125.55,132.21535,0.006514864,0.1881,,126.04,,1600600,126.48,130.334,0.824,125.55,,1600600,,,0.84,1664755200,,,123.7628,USD,28.399542,1334300,,,,36824539136,,,1460088,123.7628,124.92,1000,1334300,173.08,,0.73,112.52,124.89,False,0.0068,800,126.04,,124.39,,https://logo.clearbit.com/agilent.com,2.0609
AAL,76155,Industrials,129200,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2021, it operated a mainline fleet of 865 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,682 278 9000,TX,United States,[],https://www.aa.com,1,1 Skyview Drive,Airlines,0.022839999,-0.04718,0.17474002,-16000000,0.795,-0.03539,930000000,8,hold,1934000000,-761124992,15.5,12.71,21.978,0.814,-0.01283,14,17.37,,,28,12522000384,44864999424,40717000704,19.269,USD,62.71,0.631,3,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAL,finmb_168569,us_market,,1.005,,44.022,-0.40579712,,1.33,,649846016,,,,-12.961,77580601,0.119399995,,1640908800,0.54768,-1920999936,-3.671,0.1,-0.15654653,,0.0119,1703980800,,1656547200,3.09,1659052800,642801597,1.511785,40940462080,2,,,,,1580774400,,24.053,0.20285244,1661904000,0.08,,9.556391,,0.1345,80568807,0,,,13.23,13.3,16.1231,0,0,,13.33,,31065800,13.23,14.1468,0,13.3,,31065800,,,,1580774400,,,12.52,USD,,43969222,,,,8259543040,,,30940461,12.52,0,1400,43969222,22.35,,,11.93,0,False,,2200,13.33,,12.71,12.67,https://logo.clearbit.com/aa.com,
AAP,27604,Consumer Cyclical,41000,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of April 23, 2022, it operated 4,687 stores and 311 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,318 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],https://www.advanceautoparts.com,1,4200 Six Forks Road,Specialty Retail,0.095819995,0.04844,0.44759998,644646016,0.006,0.07111,1059585024,132,buy,4931356000,236783376,209,164.11,-0.131,1.158,0.04099,18,208.67,144.851,0.17573,252,240551008,4048299008,11057840128,4.038,USD,178.805,0.219,2.2,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AAP,finmb_24333,us_market,,1.236,,12.899,-0.23903364,,14.68,,60118200,,,,46.91,3020187,0.0502,,1640995200,1.03671,535675008,8.63,1.5,-0.15654653,3.4984012,0.0077899997,1704067200,,1657929600,3.9,1659052800,59376865,1.242109,13667946496,2,,1127692800,3:2,,1663200000,,-0.192,0.8922175,1661904000,1.25,,11.179155,,0.056700002,4158094,0,,,165.5,164.78,204.51285,0.03021148,0.5794,,165.17,,897010,165.5,185.5874,5,164.78,,897010,,,6,1663200000,,,162.916,USD,19.016222,857498,,,,9865998336,,,767326,162.916,201,1000,857498,244.55,,0.64,162.916,153.64,False,0.0363,800,165.17,,164.11,,https://logo.clearbit.com/advanceautoparts.com,0.8905
AAPL,95014,Technology,154000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.3343,0.25709,0.43313998,118224003072,0.019,0.30533,129556996096,122,buy,152836000000,83344621568,185,152.74,-0.077,0.865,0.22204,42,182.01,205.984,1.62816,220,48230998016,119691001856,387541991424,3.001,USD,23.732,0.697,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,6.559,,19.62,0.039613366,,6.45,,16070800384,,,,3.61,113066596,0.0069999998,,1632528000,0.59744,99632996352,6.05,0.23,-0.15654653,42.310253,0.0007,1695600000,,1656115200,1.72,1659052800,16054199125,1.234119,2541855965184,2,,1598832000,4:1,,1659657600,,-0.106,6.3339047,1661904000,2.64,,23.680622,,0.0069999998,107535584,0,,,153.72,152.38,160.69595,0.0057897475,0.1471,,154.43,,101368590,153.72,160.1666,0.89,152.38,,101368590,,,0.92,1659657600,,,150.91,USD,25.24628,86652542,,,,2454654025728,,,75553796,150.91,0,1000,86652542,182.94,,1.03,129.04,0,False,0.006,1300,154.43,,152.74,152.06,https://logo.clearbit.com/apple.com,2.7779
ABBV,60064-6400,Healthcare,50000,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],https://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.47377,0.22035,0.70725,22922999808,0.045,0.33058998,27170000896,135,buy,38883000000,18629376000,156,143.01,0.214,0.844,0.08139,21,158.85,498.284,0.92706,200,9962999808,73187999744,57349001216,5.635,USD,32.391,0.615,2.2,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,False,-14400000,EQUITY,ABBV,finmb_141885706,us_market,,5.429,,11.459,0.3356682,,11.9,,1768099968,,,,8.288,11384956,0.0064,,1640908800,0.70855004,12570999808,7.07,1.41,-0.15654653,17.255066,0.00112,1703980800,,1656547200,2.39,1659052800,1766080865,0.693967,311341613056,2,,,,,1657756800,,0.206,4.4090734,1661904000,-18.09,,12.017647,,0.0064,13851007,0,,,140.31,140.21,145.7812,0.03941273,0.7666,,144.46,,6135100,140.31,142.2692,5.53,140.21,,6135100,,,5.64,1665619200,,,140,USD,20.227722,5559868,,,,252855959552,,,5420757,140,144,800,5559868,175.91,,4.29,106.44,139.4,False,0.0402,1100,144.46,,143.01,141.17,https://logo.clearbit.com/abbvie.com,
ABC,19428-1800,Healthcare,42000,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was incorporated in 2001 and is headquartered in Conshohocken, Pennsylvania.",Conshohocken,610 727 7000,PA,United States,[],https://www.amerisourcebergen.com,1,1 West First Avenue,Medical Distribution,0.015149999,0.0077899997,0.03548,2548434944,0.125,0.012200001,3580100096,155,buy,6774434000,2538072832,175,140.01,0.371,0.921,0.03186,12,173.83,1420.729,3.89572,191,3034233088,7357447168,236325273600,14.64,USD,1132.645,0.505,2.3,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,America/New_York,EDT,False,-14400000,EQUITY,ABC,finmb_24809,us_market,,0.142,,9.395,0.14480782,,11.45,,207258000,,,,1.079,4478026,0.0216,,1632960000,0.70897,1841780992,8.71,0.46,-0.15654653,129.75903,0.25757,1696032000,,1656547200,4.44,1659052800,153785504,0.464242,33634983936,2,,1245110400,2:1,,1660262400,,0.393,0.122789204,1661904000,1.28,,12.227947,,0.030299999,4018023,0,,,139.12,139.09,144.54884,0.013082232,0.20899999,,140.97,,1226630,139.12,144.8616,1.82,139.09,,1226630,,,1.84,1660262400,,,138.68,USD,16.074627,656461,,,,29018191872,,,1045807,138.68,140.72,800,656461,167.19,,1.66,113.68,127.32,False,0.013099999,800,140.97,,140.01,,https://logo.clearbit.com/amerisourcebergen.com,1.3328
ABMD,01923,Healthcare,2003,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; Impella BTR, a percutaneous micro heart pump with integrated motors and sensors; and preCARDIA, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the Germany, France, United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],https://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,0.26437,0.20598,0.81483,298134016,0.097,0.23805,279260992,235,hold,843595000,223637872,330,247.26,,7.533,0.09941,4,330,0.507,0.15303001,425,844321024,0,1056316992,18.572,USD,23.21,6.645,2.7,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ABMD,finmb_247589,us_market,,9.842,,37.228,-0.29426873,,5.55,,45460900,,,,33.713,1654534,0.0364,,1648684800,0.95444,217584000,4.65,,-0.15654653,7.3342624,0.020060001,1711843200,,1656547200,6.8,1659052800,44518934,1.375549,10396337152,2,,970444800,2:1,,,,,10.641372,1661904000,3.13,,44.55135,,0.0469,1713544,0,,,252.81,250.63,287.9614,0,0,,251.305,,302420,252.81,274.6286,0,250.63,,302420,,,,,,,245.23,USD,53.17419,200399,,,,11240662016,,,262271,245.23,0,1800,200399,379.3,,,219.85,0,False,,800,251.305,,247.26,,https://logo.clearbit.com/abiomed.com,
ABT,60064-6400,Healthcare,113000,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.30629,0.1878,0.57985,10243000320,0.101,0.23219,13950999552,95,buy,25009000000,7291624960,126,101.07,0.727,2.014,0.08964,18,124.94,45.868,0.24183,150,9290000384,16840999936,45547999232,5.305,USD,25.808,1.331,2,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,False,-14400000,EQUITY,ABT,finmb_247483,us_market,,4.041,,13.192,-0.1873442,,4.69,,1751219968,,,,20.837,12941187,0.0074,,1640908800,0.75915,8520000000,4.79,0.47,-0.15654653,4.8505063,0.00732,1703980800,,1656547200,3.31,1659052800,1738015546,0.712345,184037261312,2,,1357084800,10000:4798,,1657756800,,0.697,3.8859181,1661904000,1.88,,21.550106,,0.0076,13844969,0,,,100.65,100.05,117.09345,0.01847988,0.3841,,101.83,,5056020,100.65,107.1692,1.86,100.05,,5056020,,,1.88,1665619200,,,99.848,USD,21.100208,5313813,,,,176995794944,,,4665136,99.848,102.55,900,5313813,142.6,,1.54,99.848,101.58,False,0.0187,800,101.83,,101.07,101.05,https://logo.clearbit.com/abbott.com,16.2155
ACN,2,Technology,,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and liquid application management services, as well as program, project, and service management services; strategy consulting services; critical data elements, data management and governance, data platform and architecture, product-based organization and skills, business adoption, and value realization services; engineering, and research and development digitization; smart connected product design and development; product platform engineering and modernization; product as-a-service enablement; products related to production and operations; autonomous robotics systems; the digital transformation of capital projects; and digital industrial workforce solutions. It also provides data-enabled operating models; technology consulting and artificial intelligence services; services related to talent and organization/human potential; digital commerce; infrastructure services, such as hybrid cloud, network, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices; cyber defense, applied cybersecurity, managed security, OT security, security strategy and risk, and industry security products; services related to technology innovation; and intelligent automation services. In addition, the company offers cloud, ecosystem, marketing, supply chain management, zero-based budgeting, customer experience, finance consulting, mergers and acquisitions, and sustainability services. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],https://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0,0,0,,,0,,315.34,buy,,,315.34,262.32,,,,1,315.34,,,315.34,,,,,USD,,,2,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,False,-14400000,EQUITY,ACN,finmb_972190,us_market,,,,,-0.22671932,,12.87,,632547968,,,,33.819,4419771,0.0069999998,,1661904000,0.77467,,10.31,0.97,-0.15654653,7.7565866,0.0012899999,1725062400,,1661904000,2.75,1659052800,,,,2,,,,,1657670400,,,,1661904000,1.79,,20.382286,,0.0069999998,4557418,0,,,265.42,264.09,317.80414,0.014618341,0.3676,,271.46,,2502060,265.42,294.6596,3.88,264.09,,2502060,,,3.88,1657670400,,,261.94,USD,25.443258,3201839,,,,166063259648,,,1992401,261.94,263.74,1100,3201839,417.37,,1.42,261.77,261.36,False,0.0148,900,271.46,,262.32,262,https://logo.clearbit.com/accenture.com,1.9179
ADBE,95110-2704,Technology,25988,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.39137,0.27997,0.87761,7578999808,0.127,0.35449,6728000000,310,buy,13920000000,5710750208,359,287.06,-0.04,1.141,0.14403,30,383.6,32.29,0.33438998,540,5763999744,4640999936,17191000064,12.29,USD,36.418,1.007,2.2,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000,EQUITY,ADBE,finmb_24321,us_market,,7.745,,19.791,-0.53901494,,15.6,,466945984,,,,30.646,4973784,0.0106,,1638489600,0.84275,4813000192,9.97,0.0065,-0.15654653,9.366964,0.00424,1701561600,,1662076800,2.21,1659052800,467532030,1.133839,133151703040,2,,1116892800,2:1,,1111622400,,-0.063,7.797191,1661904000,1.53,,18.401281,,0.0107,5334071,0,,,286.3,282,441.5727,0,0,,289.55,,7952300,286.3,390.0476,0,282,,7952300,,,,1111622400,,,280.06,USD,28.792376,5653816,,,,134041509888,,,3219506,280.06,0,1100,5653816,699.54,,,280.06,0,False,,900,289.55,,287.06,285.6,https://logo.clearbit.com/adobe.com,1.1081
