Symbol,Date,Open,High,Low,Close,Volume,Rise,industry
A,2022-10-21,126.37,130.13,124.82,129.88,1067000.0,3.85,Diagnostics & Research
AAL,2022-10-21,13.36,13.87,13.21,13.71,36732400.0,-32.2,Airlines
AAP,2022-10-21,170.59,172.78,169.5,171.34,826300.0,-22.69,Specialty Retail
AAPL,2022-10-21,142.87,147.85,142.65,147.27,86464700.0,-11.25,Consumer Electronics
ABBV,2022-10-21,143.34,147.76,142.43,147.06,5418800.0,-6.36,Drug Manufacturers—General
ABC,2022-10-21,142.47,148.39,142.47,147.73,1538300.0,-9.93,Medical Distribution
ABMD,2022-10-21,251.4,256.96,247.18,256.22,221400.0,-18.83,Medical Devices
ABT,2022-10-21,94.35,95.52,93.25,95.06,9857800.0,-22.6,Medical Devices
ACN,2022-10-21,261.53,269.89,260.68,269.57,3206600.0,-16.07,Information Technology Services
ADBE,2022-10-21,300.99,307.43,298.23,306.37,3656900.0,-26.61,Software—Infrastructure
ADI,2022-10-21,141.93,147.42,140.95,146.59,3612400.0,-6.76,Semiconductors
ADM,2022-10-21,87.62,90.06,87.24,89.69,2222900.0,-5.75,Farm Products
ADP,2022-10-21,228.94,233.17,227.42,232.74,2112100.0,2.03,Staffing & Employment Services
ADSK,2022-10-21,197.51,202.21,193.73,201.39,1053600.0,3.21,Software—Application
AEE,2022-10-21,76.88,78.23,76.17,77.58,1199600.0,-19.67,Utilities—Regulated Electric
AEP,2022-10-21,84.11,86.16,83.41,85.63,2278600.0,-14.82,Utilities—Regulated Electric
AES,2022-10-21,23.8,24.49,23.51,24.48,4534200.0,7.96,Utilities—Diversified
AFL,2022-10-21,59.33,61.06,59.18,60.97,2486000.0,-5.64,Insurance—Life
AIG,2022-10-21,51.77,53.3,51.66,53.25,4078600.0,-14.62,Insurance—Diversified
AIZ,2022-10-21,145.73,147.63,145.06,146.91,407500.0,-22.2,Insurance—Specialty
AJG,2022-10-21,173.26,175.46,169.01,175.37,1286300.0,-4.2,Insurance Brokers
AKAM,2022-10-21,83.19,86.06,82.92,85.88,1052900.0,-28.41,Software—Infrastructure
ALB,2022-10-21,255.97,271.37,254.51,270.01,1317700.0,30.66,Specialty Chemicals
ALGN,2022-10-21,196.58,208.45,192.63,207.67,1183000.0,-45.87,Medical Devices
ALK,2022-10-21,39.71,41.37,39.46,41.01,2551300.0,-30.23,Airlines
ALL,2022-10-21,118.31,123.57,117.94,120.08,3193700.0,-13.78,Insurance—Property & Casualty
ALLE,2022-10-21,90.02,93.21,88.82,92.79,681300.0,-16.52,Security & Protection Services
AMAT,2022-10-21,78.83,82.65,78.13,82.42,11568900.0,-28.4,Semiconductor Equipment & Materials
AMCR,2022-10-21,10.93,11.31,10.88,11.3,8944000.0,-3.42,Packaging & Containers
AMD,2022-10-21,57.22,58.91,55.71,58.82,95295600.0,-34.54,Semiconductors
